Date,Open,High,Low,Close,Volume
10/5/2016,1204,1207.699951,1188.050049,1193.180054,1176354
10/6/2016,1197.5,1201.199951,1186.380005,1194.380005,2267572
10/7/2016,1194,1194,1179.099976,1183.900024,1816512
10/10/2016,1184.949951,1193.449951,1177.530029,1190.150024,1202142
10/13/2016,1181.650024,1184.949951,1160.449951,1164.449951,5173334
10/14/2016,1157.5,1193.5,1145.5,1183.099976,7741214
10/17/2016,1184.449951,1187.900024,1172.199951,1181.219971,2728346
10/18/2016,1188,1207.849976,1177.400024,1200.099976,2128632
10/19/2016,1200.5,1205,1185.150024,1197.550049,1985058
10/20/2016,1198.449951,1204.680054,1193,1200.569946,1265854
10/21/2016,1200,1215.949951,1199.119995,1214.319946,1259660
10/24/2016,1214.099976,1217.449951,1201.280029,1213.849976,1253190
10/25/2016,1202.5,1207.300049,1190.5,1199.219971,1772466
10/26/2016,1199.300049,1201.380005,1186.25,1198.119995,1437130
10/27/2016,1189.849976,1214.75,1182.75,1209.050049,2941602
10/28/2016,1205,1207.550049,1194,1199.349976,1752102
11/1/2016,1199.849976,1199.849976,1167.069946,1175,2934776
11/2/2016,1170.5,1172,1147.5,1152.030029,2325076
11/3/2016,1147,1167.5,1142.25,1159.719971,1463310
11/4/2016,1160,1168.069946,1147,1165.280029,1183752
11/7/2016,1168.949951,1172.449951,1130.030029,1138.530029,2048052
11/8/2016,1140.219971,1153.5,1130,1141.599976,1933634
11/9/2016,1090,1137.5,1071.430054,1084.930054,4500226
11/10/2016,1102.400024,1108.75,1070.400024,1077.719971,2172426
11/11/2016,1073.530029,1073.530029,1043.099976,1050.569946,2398424
11/15/2016,1058.449951,1078.780029,1025.949951,1060.650024,6290324
11/16/2016,1072.550049,1104.449951,1069,1094.800049,4019958
11/17/2016,1092.5,1104.300049,1065.069946,1068.599976,2504688
11/18/2016,1071,1075,1052.099976,1062.550049,2140534
11/21/2016,1063.099976,1070,1052.5,1066.449951,1793366
11/22/2016,1066,1088.719971,1061.030029,1067.5,1318860
11/23/2016,1074.5,1081.469971,1063.599976,1078.180054,1275808
11/24/2016,1077.449951,1103.800049,1068.5,1094.219971,3026234
11/25/2016,1106,1153.619995,1096.099976,1150.180054,4276148
11/28/2016,1147,1159.719971,1125.949951,1141.300049,1924296
11/29/2016,1137.5,1146,1126.280029,1129.930054,1442296
11/30/2016,1132.5,1147.380005,1121.150024,1138.030029,3445832
12/1/2016,1138.5,1145,1127.030029,1131.719971,1123052
12/2/2016,1129,1135.400024,1102.599976,1110.930054,1998032
12/5/2016,1114.5,1118.930054,1085,1093,2249526
12/6/2016,1095,1101.969971,1084.949951,1091.180054,1593444
12/7/2016,1091.099976,1092.219971,1072.819946,1077.280029,2065706
12/8/2016,1080.25,1099.5,1080,1097.880005,3239546
12/9/2016,1102.5,1109.949951,1086.650024,1097.619995,1588718
12/12/2016,1097.400024,1108.800049,1081.5,1104.099976,1311758
12/13/2016,1109,1109,1091.5,1100.150024,2147534
12/14/2016,1107,1112.349976,1094.5,1103.800049,1870366
12/15/2016,1101,1136.050049,1101,1129.650024,4295410
12/16/2016,1138.5,1145,1126,1141.319946,1987230
12/19/2016,1140,1148.849976,1130.650024,1144.449951,1334210
12/20/2016,1146,1172.5,1143.530029,1169.650024,2922760
12/21/2016,1171.900024,1171.900024,1152.800049,1156.800049,2034902
12/22/2016,1153,1162.5,1143.099976,1153.849976,1868300
12/23/2016,1150,1158.880005,1139.400024,1144.050049,1118954
12/26/2016,1133,1150.800049,1133,1146.550049,897408
12/27/2016,1140.75,1165,1140.75,1161.699951,1294692
12/28/2016,1163.349976,1174.949951,1151.569946,1156.699951,1350418
12/29/2016,1151.5,1179.949951,1151.5,1175.849976,1963516
12/30/2016,1177.449951,1189.300049,1172.819946,1182.780029,1405748
1/2/2017,1183.300049,1187.550049,1176.199951,1180.680054,823132
1/3/2017,1180.619995,1185.849976,1171.650024,1184.119995,1475324
1/4/2017,1184.849976,1194.430054,1179.150024,1189.75,1420066
1/5/2017,1192,1194.969971,1160.199951,1167.199951,2216404
